id,sum,index,percentile

sum3,60,164,100
sum3,59,162,100
sum3,58,160,100
sum3,57,158,100
sum3,56,156,100
sum3,55,154,100
sum3,54,151,100
sum3,53,149,100
sum3,52,147,100
sum3,51,145,100
sum3,50,143,100
sum3,49,141,100
sum3,48,139,100
sum3,47,136,100
sum3,46,134,99
sum3,45,132,99
sum3,44,130,98
sum3,43,128,97
sum3,42,126,96
sum3,41,124,95
sum3,40,121,92
sum3,39,119,90
sum3,38,117,87
sum3,37,115,84
sum3,36,113,81
sum3,35,111,77
sum3,34,109,73
sum3,33,106,65
sum3,32,104,61
sum3,31,102,55
sum3,30,100,50
sum3,29,98,45
sum3,28,96,39
sum3,27,94,35
sum3,26,91,27
sum3,25,89,23
sum3,24,87,19
sum3,23,85,16
sum3,22,83,13
sum3,21,81,10
sum3,20,79,8
sum3,19,76,5
sum3,18,74,4
sum3,17,72,3
sum3,16,70,2
sum3,15,68,1
sum3,14,66,1
sum3,13,64,0
sum3,12,61,0
sum3,11,59,0
sum3,10,57,0
sum3,9,55,0
sum3,8,53,0
sum3,7,51,0
sum3,6,49,0
sum3,5,46,0
sum3,4,44,0
sum3,3,42,0

sum6,115,165,100
sum6,114,162,100
sum6,113,161,100
sum6,112,160,100
sum6,111,159,100
sum6,110,157,100
sum6,109,156,100
sum6,108,155,100
sum6,107,154,100
sum6,106,153,100
sum6,105,152,100
sum6,104,151,100
sum6,103,150,100
sum6,102,148,100
sum6,101,147,100
sum6,100,146,100
sum6,99,145,100
sum6,98,144,100
sum6,97,143,100
sum6,96,141,100
sum6,95,140,100
sum6,94,139,100
sum6,93,138,100
sum6,92,137,100
sum6,91,136,100
sum6,90,135,99
sum6,89,133,99
sum6,88,132,99
sum6,87,131,98
sum6,86,130,98
sum6,85,129,97
sum6,84,128,97
sum6,83,126,96
sum6,82,125,95
sum6,81,124,95
sum6,80,123,94
sum6,79,122,93
sum6,78,121,92
sum6,77,120,91
sum6,76,118,89
sum6,75,117,87
sum6,74,116,86
sum6,73,115,84
sum6,72,114,82
sum6,71,113,81
sum6,70,111,77
sum6,69,110,75
sum6,68,109,73
sum6,67,108,70
sum6,66,107,68
sum6,65,106,65
sum6,64,105,63
sum6,63,103,58
sum6,62,102,55
sum6,61,101,53
sum6,60,100,50
sum6,59,99,47
sum6,58,98,45
sum6,57,96,39
sum6,56,95,37
sum6,55,94,35
sum6,54,93,32
sum6,53,92,30
sum6,52,91,27
sum6,51,90,25
sum6,50,89,23
sum6,49,87,19
sum6,48,86,18
sum6,47,85,16
sum6,46,84,14
sum6,45,83,13
sum6,44,82,12
sum6,43,80,9
sum6,42,79,8
sum6,41,78,7
sum6,40,77,6
sum6,39,76,5
sum6,38,75,5
sum6,37,74,4
sum6,36,72,3
sum6,35,71,3
sum6,34,70,2
sum6,33,69,2
sum6,32,68,1
sum6,31,67,1
sum6,30,65,1
sum6,29,64,0
sum6,28,63,0
sum6,27,62,0
sum6,26,61,0
sum6,25,60,0
sum6,24,59,0
sum6,23,57,0
sum6,22,56,0
sum6,21,55,0
sum6,20,54,0
sum6,19,53,0
sum6,18,52,0
sum6,17,50,0
sum6,16,49,0
sum6,15,48,0
sum6,14,47,0
sum6,13,46,0
sum6,12,45,0
sum6,11,44,0
sum6,10,42,0
sum6,9,41,0
sum6,8,40,0
sum6,7,39,0
sum6,6,38,0
